id,codigoestacion,codigosensor,fechaobservacion,valorobservado,nombreestacion,departamento,municipio,zonahidrografica,latitud,longitud,descripcionsensor,unidadmedida
2463,0026065501,0068,2018-01-21T17:45:00.000,21.19526,JAMUNDI  - AUT,VALLE DEL CAUCA,JAMUNDÍ,CAUCA,3.215580556,-76.68021944,Temp Aire 2 m,°C
2464,0026115090,0068,2017-05-25T20:00:00.000,17.3,LAS BRISAS - AUT,VALLE DEL CAUCA,ANSERMANUEVO,SAN JUÁN,4.775583333,-76.14427778,Temp Aire 2 m,°C
2465,0029035000,0068,2017-03-04T21:00:00.000,27,SINCERIN  - AUT,BOLIVAR,ARJONA,BAJO MAGDALENA,10.14258333,-75.27827778,Temp Aire 2 m,°C
2466,0051025060,0068,2009-01-22T04:00:00.000,19.6,BIOTOPO - AUT,NARIÑO,BARBACOAS,MIRA,1.408638889,-78.28161111,Temp Aire 2 m,°C
2467,0026135503,0068,2017-08-02T20:55:00.000,20.87507,NARANJAL  - AUT,CALDAS,CHINCHINA,CAUCA,4.971944444,-75.65221944,Temp Aire 2 m,°C
2468,0029045150,0068,2009-07-22T06:00:00.000,23.5,SAIZA - En Siniestro,CÓRDOBA,TIERRALTA,SINÚ,7.746,-76.433,Temp Aire 2 m,°C
2469,0026155502,0068,2017-08-10T12:40:00.000,29.238,CENICAFE  - AUT,CALDAS,MANIZALES,CAUCA,4.991111111,-75.59749722,Temp Aire 2 m,°C
2470,0021202220,0068,2013-12-05T21:10:00.000,17.5,PARAISO - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.617,-74.05,Temp Aire 2 m,°C
2471,0026175501,0068,2018-02-08T19:40:00.000,23.12079,RAFAEL ESCOBAR  - AUT,CALDAS,SUPIA,CAUCA,5.45,-75.63305556,Temp Aire 2 m,°C
2472,0026145501,0068,2019-05-16T19:50:00.000,17.70507,APIA  - AUT,RISARALDA,APÍA,CAUCA,5.105055556,-75.93305556,Temp Aire 2 m,°C
2473,0021165502,0068,2017-07-23T17:10:00.000,21.25402,VILLARICA  - AUT,TOLIMA,VILLARRICA,ALTO MAGDALENA,3.955641667,-74.59178611,Temp Aire 2 m,°C
2474,0014017001,0068,2019-04-04T15:00:00.000,28,TESORO INVEMAR,BOLÍVAR,CARTAGENA DE INDIAS,BAJO MAGDALENA,10.235,-75.741,Temp Aire 2 m,°C
2475,2120700037,0068,2019-01-23T04:22:00.000,12.62,CASAS FISCALES ESCUELA DE ARTILLERÍA - AUT,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.556,-74.125,Temp Aire 2 m,°C
2476,0023055502,0068,2016-07-23T05:00:00.000,15.6,VILLARAZ  - AUT,CALDAS,PENSILVANIA,MEDIO MAGDALENA,5.383333333,-75.06638889,Temp Aire 2 m,°C
2477,0035215020,0068,2009-12-04T18:00:00.000,27.5,APTO YOPAL,CASANARE,YOPAL,META,5.32,-72.388,Temp Aire 2 m,°C
2478,0052055501,0068,2017-07-21T11:10:00.000,28.17338,OSPINA PEREZ  - AUT,NARIÑO,CONSACÁ,PATÍA,1.254722222,-77.48777778,Temp Aire 2 m,°C
2479,0011135030,0068,2015-03-13T21:00:00.000,25.5,UNGUIA - AUT,CHOCO,UNGUÍA,ATRATO - DARIÉN,8.036722222,-77.08786111,Temp Aire 2 m,°C
2480,0026125502,0068,2017-11-23T09:55:00.000,22.7966,CAICEDONIA  - AUT,VALLE DEL CAUCA,CAICEDONIA,CAUCA,4.297558333,-75.86396111,Temp Aire 2 m,°C
2481,0021015070,0068,2007-07-02T02:00:00.000,14.5,LOS GUACHAROS  - AUT,HUILA,PALESTINA,ALTO MAGDALENA,1.675833,-76.106841,Temp Aire 2 m,°C
2482,0026205501,0068,2017-11-10T21:40:00.000,19.93748,EL ROSARIO  - AUT,ANTIOQUIA,VENECIA,CAUCA,5.625830556,-75.70527778,Temp Aire 2 m,°C
2483,0029065130,0068,2019-01-18T18:00:00.000,30.4,LA GRAN VIA - AUT,MAGDALENA,ZONA BANANERA,BAJO MAGDALENA,10.85,-74.13333333,Temp Aire 2 m,°C
2484,0021201200,0068,2016-04-25T00:05:00.000,8.93,ESC LA UNION - FOPAE,BOGOTA D.C.,"BOGOTA, D.C",ALTO MAGDALENA,4.343,-74.184,Temp Aire 2 m,°C
2485,0023055501,0068,2019-03-07T07:05:00.000,18.81031,SANTA HELENA  - AUT,CALDAS,MARQUETALIA,MEDIO MAGDALENA,5.317497222,-74.99610833,Temp Aire 2 m,°C
